,accident_id,icao,iata,name,state,country,country_code,lat,lon
1990,ACC1964,xxxx,KNA,Viña del Mar Airport,,Chile,CL,-32.96168180548703,-71.45766299768495
1991,ACC1965,xxxx,xxx,Hudson Bay,ON,Canada,CA,48.1478,-80.03404
1992,ACC1966,xxxx,xxx,Cayo Luis Peña,,Puerto Rico,PR,18.46535004249192,-66.15991462127053
1994,ACC1968,xxxx,KUD,Kudat Airport,,Malaysia,MY,6.9225001335,116.8359985352
1997,ACC1971,xxxx,LTO,Loreto Airport,,Mexico,MX,25.988967998767077,-111.49725993764996
2000,ACC1974,xxxx,YRL,Red Lake Airport,ON,Canada,CA,51.05970377305265,-93.79309844970001
2002,ACC1976,xxxx,FLL,Fort Lauderdale International Airport,FL,United States,US,26.10345816751471,-80.1297641444963
2004,ACC1978,xxxx,xxx,Kibeni,,Papua New Guinea,PG,-9.45508,147.20381
2006,ACC1980,xxxx,KSM,Saint Mary's Airport,AK,United States,US,62.05065446802337,-163.29803433027982
2007,ACC1981,xxxx,xxx,Bwabwata National Park,,Namibia,NA,-22.5716,17.09074
2008,ACC1982,xxxx,xxx,Pikany Indian Airstrip,PA,Brazil,BR,-15.77829995014234,-47.93452149606548
2010,ACC1984,xxxx,LUP,Kalaupapa Airport,HI,United States,US,21.2110402777778,-156.973597222222
2012,ACC1986,xxxx,ASE,Aspen-Pitkin County Airport,CO,United States,US,39.2218888888889,-106.868222222222
2014,ACC1988,xxxx,xxx,Olive Creek,,Guyana,GY,6.772852584764943,-58.1745898014504
2017,ACC1991,xxxx,xxx,Sandhikhark,,Nepal,NP,28.01713495645873,83.05128343459678
2023,ACC1997,xxxx,xxx,Bethel,AK,United States,US,60.410547115115946,-161.6146901782882
226,ACC200,xxxx,BTK,Bratsk Airport,,Russia,RU,56.38139351337103,101.6979980469
2026,ACC2000,xxxx,xxx,Carmelo/Zagarzazú International Airport,,Uruguay,UY,-34.937747013721804,-56.262300797599416
2031,ACC2005,xxxx,HSV,Huntsville International Airport,AL,United States,US,34.6371969444444,-86.7750541666667
2037,ACC2011,xxxx,MZG,Magong Airport,,Taiwan,TW,23.573788023111398,119.63514540198804
2039,ACC2013,xxxx,TMR,Tamanrasset Airport,,Algeria,DZ,22.676602308412193,5.4510798454
2043,ACC2017,xxxx,xxx,Panyagor Airstrip,,South Sudan,SS,4.83975,31.59758
228,ACC202,xxxx,xxx,Ciudad Bolívar,,Venezuela,VE,8.141747554315456,-64.735024783888
2050,ACC2024,xxxx,xxx,Guyana,,Guyana,GY,6.80858,-58.16124
2052,ACC2026,xxxx,xxx,Shatyrkul Mine,,Kazakhstan,KZ,51.12735977555741,71.85914818800481
2053,ACC2027,xxxx,TMB,Miami Executive Airport,FL,United States,US,25.647556859900593,-80.45879356560972
2060,ACC2034,xxxx,xxx,North Vancouver,BC,Canada,CA,49.41997537665107,-123.07518
2063,ACC2037,xxxx,SVQ,Sevilla Airport,,Spain,ES,37.44343160176881,-5.874093747610748
230,ACC204,xxxx,xxx,Lobito Airport,,Angola,AO,-12.353651811503454,13.5330564133763
2067,ACC2041,xxxx,xxx,Klaipeda,,Lithuania,LT,56.65762496968312,21.4704319484885
2069,ACC2043,xxxx,QRO,Querétaro Airport,,Mexico,MX,20.6173000336,-100.185997009
2073,ACC2047,xxxx,xxx,Ella Lake,"Misty Fjords National Monument, AK",United States,US,39.1541,-108.71402
2079,ACC2053,xxxx,xxx,Stancuta,,Romania,RO,44.89654,27.8295
2080,ACC2054,xxxx,xxx,Cervený Kamen,,Slovakia,SK,49.08628,18.18577
2081,ACC2055,xxxx,xxx,Cervený Kamen,,Slovakia,SK,49.08628,18.18577
232,ACC206,xxxx,HGL,Helgoland Airport,,Germany,DE,54.1852798462,7.9158329964
2093,ACC2067,xxxx,xxx,Chigwell,Essex,United Kingdom,GB,51.61893,0.07511
2099,ACC2073,xxxx,xxx,Swellendam,Western Cape,South Africa,ZA,-34.23891179697329,20.297389290741982
2100,ACC2074,xxxx,xxx,Pickle Lake Airport,ON,Canada,CA,51.66120732636585,-90.09695086974861
2104,ACC2078,xxxx,xxx,Cedar Fort,UT,United States,US,40.31170650726531,-112.10926889504988
2106,ACC2080,xxxx,xxx,Gay,Orenburg Oblast,Russia,RU,51.46486,58.44354
2107,ACC2081,xxxx,xxx,Dana,Myagdi district,Nepal,NP,28.53903,83.64907
2109,ACC2083,xxxx,CXB,Cox's Bazar Airport,,Bangladesh,BD,21.452197439845964,91.92432169742783
2111,ACC2085,xxxx,ROV,Rostov Airport,,Russia,RU,47.50083333,39.93361111
2116,ACC2090,xxxx,UNG,Kiunga Airport,,Papua New Guinea,PG,-6.125709901423074,141.27193882892234
2121,ACC2095,xxxx,DWR,Dwyer Airport,,Afghanistan,AF,36.72539,67.205
2126,ACC2100,xxxx,xxx,Novopokrovskoye,Balashov district,Russia,RU,45.030922289532434,37.663866790676806
2127,ACC2101,xxxx,xxx,9 km (5.6 mls) ESE Rybnyi Uyan,Kachug region,Russia,RU,58.17123,56.3833
237,ACC211,xxxx,BLK,Blackpool Airport,,United Kingdom,GB,53.7717018127,-3.0286099911
2142,ACC2116,xxxx,YLW,Kelowna Airport,BC,Canada,CA,50.00885255865136,-119.35762889811937
2143,ACC2117,xxxx,xxx,Dunnellon/Marion County Airport,FL,United States,US,29.06216,-82.36858
2155,ACC2129,xxxx,xxx,Swan River,"Perth, WA",Australia,AU,-31.95909,115.8509
2162,ACC2136,xxxx,UTA,Mutare Airport,,Zimbabwe,ZW,-19.143695752914653,32.74484711678419
2167,ACC2141,xxxx,OKL,Oksibil Airport,,Indonesia,ID,-4.974148352830564,140.6100006104
2172,ACC2146,xxxx,xxx,Chignik,AK,United States,US,56.29375,-158.40545
2185,ACC2159,xxxx,xxx,Eteringbang Airport,,Guyana,GY,6.806990206351807,-58.15980585965891
242,ACC216,xxxx,xxx,Okha,,Russia,RU,53.59468,142.94297
2190,ACC2164,xxxx,xxx,Chernoye Airport,,Russia,RU,43.44806,39.93555
243,ACC217,xxxx,xxx,Socorro,NM,United States,US,34.06014,-106.89187
2197,ACC2171,xxxx,ALA,Almaty Airport,,Kazakhstan,KZ,43.448017042973824,76.52943184775918
2199,ACC2173,xxxx,xxx,Dundo,,Angola,AO,-8.12510105125749,20.116931790221493
2201,ACC2175,xxxx,xxx,Nuevo Saposoa,,Peru,PE,-6.93439,-76.77147
2205,ACC2179,xxxx,xxx,Ekimchan,Amur region,Russia,RU,53.06873,132.94032
2207,ACC2181,xxxx,xxx,Nelkan Airport,,Russia,RU,43.43808948114609,39.93018203822732
2212,ACC2186,xxxx,xxx,Sieberatsreute,Waldburg,Germany,DE,47.75748,9.68967
245,ACC219,xxxx,xxx,Las Palomas,,Colombia,CO,8.4477,-75.99717
2225,ACC2199,xxxx,xxx,Bahun Khark,,Nepal,NP,28.09839,84.31515
2239,ACC2213,xxxx,xxx,Kamako Airstrip,,Democratic Republic of the Congo,CD,-4.3104695212129975,15.315700487647334
2240,ACC2214,xxxx,xxx,Piz Segnas,,Switzerland,CH,46.68698846407,8.822637932569453
2250,ACC2224,xxxx,TKK,Chuuk/Weno International Airport,,Micronesia,FM,7.461890810222859,151.83826762594933
2256,ACC2230,xxxx,xxx,Hobart,TAS,Australia,AU,-43.22348550524256,146.8818816531984
2261,ACC2235,xxxx,YLE,Whatì/Lac La Martre Airport,NT,Canada,CA,62.995678461275475,-117.16432887139739
250,ACC224,xxxx,CAJ,Canaima Airport,,Venezuela,VE,6.2319889069,-62.8544311523
2270,ACC2244,xxxx,xxx,Ketchikan,AK,United States,US,55.4373722887059,-131.61424486370197
251,ACC225,xxxx,xxx,Mount Giluwe,,Papua New Guinea,PG,-9.45508,147.20381
2278,ACC2252,xxxx,xxx,Addenbroke Island,BC,Canada,CA,49.37987,-123.34193
2282,ACC2256,xxxx,xxx,Fakhrabad,,Tajikistan,TJ,38.56792,68.77152
2283,ACC2257,xxxx,YMA,Mayo Airport,YT,Canada,CA,63.772127932316735,-135.76340007519968
252,ACC226,xxxx,xxx,Gondar,,Ethiopia,ET,12.6064,37.46134
2299,ACC2273,xxxx,GOM,Goma Airport,,Democratic Republic of the Congo,CD,-1.679803200259187,29.238500595099996
